k,nu,u,c_over_c1,transport_frac,branch_frac,slack,argmin_lift,argmin_offset
17,3,1,0.440974840773621,0.0014277152662317417,0.9985724670391485,1.8230538012531383e-07,0,2
17,3,2,0.6320929016482444,0.0010811056217057211,0.998919065937613,1.7155931875123542e-07,1,31
17,3,4,0.40275068857836505,0.0016501066162156004,0.9983500406061586,1.472223742915446e-07,1,35
17,3,5,0.7921365868940436,0.000914377807049699,0.9990857213310923,9.913814191797599e-08,2,64
17,3,7,0.4489978065992686,0.001402764875165346,0.9985974236548847,1.885300500159559e-07,0,14
17,3,8,1.3759590406218694,0.00050482817047344,0.9994953780463239,2.062167974159479e-07,1,43
17,3,10,0.5815597718486216,0.0011552876349637882,0.9988448347623349,1.2239729874075067e-07,0,20
17,3,11,0.6642623211269063,0.001030962444324931,0.9989691809254716,1.433697964792202e-07,0,22
17,3,13,0.33500021573515076,0.0018701628571407471,0.9981300315358965,1.9439303722279533e-07,2,80
17,3,14,1.1019974882939643,0.0006741303613407398,0.999326029407142,1.5976848266596733e-07,2,1
17,3,16,0.4055841861089351,0.0016260102598531915,0.9983742024809357,2.1274078876309943e-07,0,32
17,3,17,0.9832209964314713,0.0006492520111687464,0.9993510047231111,2.567342798354133e-07,1,61
17,3,19,0.4523284619039364,0.0014348900733593677,0.9985652480140379,1.3808739729448405e-07,1,65
17,3,20,0.6955044466964768,0.0009601394700716545,0.9990399584382238,9.790829569311654e-08,2,13
17,3,22,0.35731706089663484,0.0018162524224578584,0.9981838991800168,1.5160247479606426e-07,0,44
17,3,23,0.6908916056677148,0.0010486909549936307,0.9989514648605127,1.5581550627530305e-07,0,46
17,3,25,0.5070956610247199,0.0012743024027112764,0.9987258482129217,1.5061563285456714e-07,0,50
17,3,26,0.9722019943643666,0.0007250294376827735,0.9992751408435102,1.7028119292383792e-07,1,79
17,4,1,0.9643331911347397,0.0008444585384312959,0.9991556512308213,1.0976925257644154e-07,0,2
17,4,2,0.3061314465791107,0.0023014994020801307,0.9976986434233883,1.4282546834110121e-07,0,4
17,4,4,0.5351023111866348,0.00177702959390841,0.9982231755912967,2.051852050488634e-07,1,89
17,4,5,0.2815068117150665,0.0027834898969705886,0.9972166548147108,1.4471168130469891e-07,2,172
17,4,7,1.0512845382666574,0.000739927929759333,0.999260296676896,2.2460665527468393e-07,0,14
17,4,8,0.3039676766635126,0.002462042624094387,0.9975381600367681,2.0266086253606375e-07,1,97
17,4,10,0.7333602923030336,0.0010410334302908327,0.9989590554243633,8.885465385688462e-08,1,101
17,4,11,0.4356792473922678,0.001657462067102942,0.9983426909388248,1.5300592770550736e-07,1,103
17,4,13,0.5429718900196487,0.0015259965589302172,0.9984741681001276,1.6465905772200529e-07,1,107
17,4,14,0.3117089016990203,0.002317963751322153,0.9976821520598163,1.158111382348892e-07,1,109
17,4,16,1.04916623603451,0.0007031715923103473,0.9992970471653371,2.1875764733003678e-07,2,194
17,4,17,0.2479584184575345,0.002882918371265787,0.9971171923493868,1.1072065264627895e-07,0,34
17,4,19,0.47980950640252673,0.0017650549924702055,0.9982350777246699,1.3271714016660496e-07,0,38
17,4,20,0.40383776516503694,0.0017538363649920387,0.9982462654510866,1.0181607867920661e-07,1,121
17,4,22,0.46132421668889717,0.001984787532837658,0.9980153859780766,1.7351091408102093e-07,2,206
17,4,23,0.3520875989336036,0.002073010291888869,0.9979270988604887,1.0915237758091223e-07,2,208
17,4,25,0.7805805274063906,0.0010376172174030222,0.9989625164421018,1.3365950479737876e-07,0,50
17,4,26,0.23711464915478025,0.0030133458662313013,0.9969867959596754,1.4182590679645557e-07,1,133
17,4,28,0.7738721832857292,0.001025083337767136,0.9989750642603811,1.4759814837006502e-07,1,137
17,4,29,0.32008038618441315,0.002132055799704889,0.9978681173610978,1.7316080258567013e-07,0,58
17,4,31,0.4389608214339393,0.0019555714885851057,0.9980445558066616,1.2729524678789517e-07,0,62
17,4,32,0.36920013572994187,0.0021750067999414227,0.9978251013985516,1.0819849305399032e-07,0,64
17,4,34,0.6830991452080262,0.0011398543236790875,0.9988602719844994,1.2630817858294563e-07,2,230
17,4,35,0.27953337994283906,0.00288243312675222,0.9971177159435284,1.4907028056398985e-07,0,70
17,4,37,0.6666413596349877,0.0011298409770154909,0.9988702812043163,1.2218133171870704e-07,1,155
