k,center,j,count,mass_frac,mean_osc,mw_mean_osc,p_osc_gt_02,mass_osc_gt_02,max_osc
19,inv4_n1,1,86093442,6.096202e-01,5.000554e-02,6.587692e-02,6.461061e-03,1.667786e-02,6.235389e-01
19,inv4_n1,2,28697814,1.984813e-01,4.680810e-02,5.697516e-02,5.102061e-03,3.507698e-03,3.906942e-01
19,inv4_n1,3,9565938,1.003401e-01,4.897765e-02,5.894062e-02,5.887243e-03,1.925149e-03,3.865792e-01
19,inv4_n1,4,3188646,4.836348e-02,5.291774e-02,6.312804e-02,7.470255e-03,1.104393e-03,3.858996e-01
19,inv4_n1,5,1062882,2.298726e-02,5.752779e-02,6.807166e-02,9.893855e-03,6.428478e-04,3.864038e-01
19,inv4_n1,6,354294,1.082979e-02,6.304029e-02,7.390975e-02,1.351702e-02,3.824609e-04,3.868991e-01
19,inv4_n1,7,118098,5.054067e-03,6.941333e-02,8.071768e-02,1.867093e-02,2.271008e-04,3.857760e-01
19,inv4_n1,8,39366,2.342726e-03,7.692155e-02,8.865738e-02,2.664736e-02,1.367455e-04,3.889950e-01
19,inv4_n1,9,13122,1.079449e-03,8.557887e-02,9.770511e-02,3.848499e-02,8.239404e-05,3.915657e-01
19,inv4_n1,10,4374,4.943315e-04,9.468235e-02,1.073309e-01,5.715592e-02,5.094371e-05,3.831625e-01
19,inv4_n2,1,86093442,8.893500e-01,5.000554e-02,6.406552e-02,6.461061e-03,2.250968e-02,6.235389e-01
19,inv4_n2,2,28697814,5.625794e-02,4.680810e-02,5.697516e-02,5.102061e-03,9.942288e-04,3.906942e-01
19,inv4_n2,3,9565938,2.844059e-02,4.897765e-02,5.894062e-02,5.887243e-03,5.456680e-04,3.865792e-01
19,inv4_n2,4,3188646,1.370824e-02,5.291774e-02,6.312804e-02,7.470255e-03,3.130313e-04,3.858995e-01
19,inv4_n2,5,1062882,6.515554e-03,5.752779e-02,6.807166e-02,9.893855e-03,1.822100e-04,3.864038e-01
19,inv4_n2,6,354294,3.069617e-03,6.304029e-02,7.390975e-02,1.351702e-02,1.084055e-04,3.868991e-01
19,inv4_n2,7,118098,1.432535e-03,6.941333e-02,8.071768e-02,1.867093e-02,6.436989e-05,3.857760e-01
19,inv4_n2,8,39366,6.640268e-04,7.692155e-02,8.865738e-02,2.664736e-02,3.875940e-05,3.889950e-01
19,inv4_n2,9,13122,3.059610e-04,8.557887e-02,9.770511e-02,3.848499e-02,2.335393e-05,3.915657e-01
19,inv4_n2,10,4374,1.401143e-04,9.468235e-02,1.073309e-01,5.715592e-02,1.443959e-05,3.831625e-01
19,inv4_n3,1,86093442,5.010298e-01,4.825070e-02,6.011790e-02,5.717695e-03,1.044550e-02,3.915657e-01
19,inv4_n3,2,28697814,4.317251e-01,5.392751e-02,6.864459e-02,8.165395e-03,1.315530e-02,6.235389e-01
19,inv4_n3,3,9565938,4.442386e-02,4.771443e-02,5.880017e-02,5.419124e-03,8.632348e-04,3.896981e-01
19,inv4_n3,4,3188646,1.602929e-02,4.763620e-02,5.638019e-02,5.330162e-03,2.664248e-04,3.822015e-01
19,inv4_n3,5,1062882,3.920743e-03,4.292830e-02,4.802161e-02,3.339976e-03,3.422338e-05,3.668244e-01
19,inv4_n3,6,354294,1.736030e-03,4.755361e-02,5.448195e-02,4.945046e-03,2.293532e-05,3.626551e-01
19,inv4_n3,7,118098,6.307438e-04,5.048321e-02,5.738335e-02,6.257515e-03,1.000608e-05,3.618562e-01
19,inv4_n3,8,39366,2.974312e-04,5.915484e-02,6.653117e-02,1.117716e-02,7.367384e-06,3.635215e-01
19,inv4_n3,9,13122,1.155806e-04,6.693942e-02,7.577499e-02,1.745161e-02,4.247834e-06,3.640131e-01
19,inv4_n3,10,4374,5.266390e-05,7.511344e-02,8.438830e-02,2.400549e-02,2.486619e-06,3.415794e-01
