base	hi	c1	c2	c3	c4	c5	c6	c7	c8	overflow	cap	exc_log2	exc_argn
3000000001	3010000000	1857	4014	781	0	0	0	0	0	9993348	0	121.3219	3003006385
3010000001	3020000000	1753	2934	152	0	0	0	0	0	9995161	0	121.3219	3016024279
3020000001	3030000000	2195	1225	268	0	0	0	0	0	9996312	0	121.3219	3029099719
3030000001	3040000000	1079	5535	1595	0	0	0	0	0	9991791	0	121.3219	3032261783
3040000001	3050000000	1348	1717	20	0	0	0	0	0	9996915	0	121.3219	3045410077
3050000001	3060000000	3713	1945	425	0	0	0	0	0	9993917	0	121.3219	3058615959
3060000001	3070000000	923	2195	1794	0	0	0	0	0	9995088	0	121.3219	3061799333
3070000001	3080000000	1607	2624	142	0	0	0	0	0	9995627	0	121.3219	3075077553
3080000001	3090000000	2521	4186	721	0	0	0	0	0	9992572	0	121.3219	3088398201
3090000001	3100000000	1953	954	372	0	0	0	0	0	9996721	0	121.3219	3091627743
3100000001	3110000000	876	4132	283	0	0	0	0	0	9994709	0	121.3219	3105034229
3110000001	3120000000	1785	3730	1371	0	0	0	0	0	9993114	0	121.3219	3118498905
3120000001	3130000000	2740	1932	453	0	0	0	0	0	9994875	0	121.3219	3121720425
3130000001	3140000000	1408	1581	283	0	0	0	0	0	9996728	0	121.3219	3135284149
3140000001	3150000000	1657	2720	1686	0	0	0	0	0	9993937	0	121.3219	3148879257
